scope,era,component,component_label,expected_direction,sample_count,unique_values,feature_mean,feature_std,spearman_to_return,aligned_spearman,bottom_samples,top_samples,bottom_expectancy,top_expectancy,top_minus_bottom,aligned_top_minus_bottom,missing_share
LONG,LEGACY,volume_score,Volume,1.0,2833,14,4.68513942816802,4.727712845596173,0.03488131664246684,0.03488131664246684,709,708,-0.4328232045133991,-0.03367449011299441,0.3991487144004047,0.3991487144004047,0.0
LONG,LEGACY,structure_score,Structure,1.0,2833,9,6.744793505118249,2.512410825359412,0.03182653401098254,0.03182653401098254,709,708,-0.2529387743300423,0.20949887288135596,0.46243764721139824,0.46243764721139824,0.0
LONG,LEGACY,regime_score,Regime,1.0,2833,6,4.434521708436287,2.1621608546110695,-0.019861756092946915,-0.019861756092946915,709,708,-0.4483614301833569,0.14472213276836154,0.5930835629517184,0.5930835629517184,0.0
LONG,LEGACY,risk_penalty,Risk Penalty,-1.0,2833,20,-6.031415460642428,4.853018028305462,0.013015262073994597,-0.013015262073994597,709,708,-0.4236349111424542,-0.15642746468926552,0.2672074464531887,-0.2672074464531887,0.0
LONG,LEGACY,adaptive_adjustment,Adaptive Adjustment,1.0,2833,13,0.5810095305330039,2.8306512974307787,0.026121657926265415,0.026121657926265415,709,708,-0.288152820874471,0.014657433615819218,0.30281025449029025,0.30281025449029025,0.0
LONG,TRANSITION,trend_score,Trend,1.0,2045,4,27.104156479217604,3.083897342889355,-0.013927368358511275,-0.013927368358511275,512,511,-0.08284149609375,-0.11751133855185907,-0.03466984245810907,-0.03466984245810907,0.0
LONG,TRANSITION,momentum_score,Momentum,1.0,2045,19,23.130562347188263,4.12921725464868,0.025839360346232132,0.025839360346232132,512,511,-0.7849975683593751,-0.5902037847358123,0.1947937836235628,0.1947937836235628,0.0
LONG,TRANSITION,volume_score,Volume,1.0,2045,12,5.054278728606357,4.7879726588065505,0.06693459029657073,0.06693459029657073,512,511,-1.1161149921875002,-0.2955126849315069,0.8206023072559934,0.8206023072559934,0.0
LONG,TRANSITION,structure_score,Structure,1.0,2045,8,6.4298288508557455,2.631498168590426,0.01908284364495622,0.01908284364495622,512,511,-0.880329849609375,-0.691188048923679,0.18914180068569597,0.18914180068569597,0.0
LONG,TRANSITION,regime_score,Regime,1.0,2045,6,4.297799511002445,2.3591511566351704,-0.025537449444671814,-0.025537449444671814,512,511,0.017042664062500018,-0.10997495499021524,-0.12701761905271525,-0.12701761905271525,0.0
LONG,TRANSITION,risk_penalty,Risk Penalty,-1.0,2045,20,-5.850366748166259,4.633787480891093,-0.04277832474184387,0.04277832474184387,512,511,-0.16955012304687503,-0.8132053033268101,-0.6436551802799351,0.6436551802799351,0.0
LONG,TRANSITION,adaptive_adjustment,Adaptive Adjustment,1.0,2045,13,0.5163814180929095,2.845723529629587,0.03663693688710193,0.03663693688710193,512,511,-0.914719537109375,-0.5728171898238748,0.3419023472855003,0.3419023472855003,0.0
