scope,component,component_label,bin_order,bin_label,sample_count,component_mean,avg_return,median_return,win_rate
REGIME:VOLATILE,trend_score,Trend,0,"(16.999, 22.5]",10,17.0,-0.262996,-1.94025,0.3
REGIME:VOLATILE,trend_score,Trend,1,"(22.5, 28.0]",104,28.0,-0.60598,-0.710121,0.384615
REGIME:VOLATILE,momentum_score,Momentum,0,"(20.999, 22.8]",5,21.6,-0.481978,0.550446,0.6
REGIME:VOLATILE,momentum_score,Momentum,1,"(22.8, 24.6]",24,24.0,-0.329527,-1.358351,0.333333
REGIME:VOLATILE,momentum_score,Momentum,2,"(24.6, 26.4]",8,25.0,-1.243927,-1.727141,0.125
REGIME:VOLATILE,momentum_score,Momentum,3,"(26.4, 28.2]",35,27.371429,-1.005341,-0.735894,0.428571
REGIME:VOLATILE,momentum_score,Momentum,4,"(28.2, 30.0]",42,30.0,-0.242738,-0.626605,0.380952
REGIME:VOLATILE,volume_score,Volume,0,"(-0.001, 3.6]",3,1.666667,-1.271576,-2.190496,0.333333
REGIME:VOLATILE,volume_score,Volume,1,"(3.6, 7.2]",17,6.882353,-2.032041,-1.443865,0.411765
REGIME:VOLATILE,volume_score,Volume,2,"(7.2, 10.8]",24,9.0,-0.253682,-0.898219,0.333333
REGIME:VOLATILE,volume_score,Volume,3,"(10.8, 14.4]",43,11.883721,-0.440527,-1.152521,0.348837
REGIME:VOLATILE,volume_score,Volume,4,"(14.4, 18.0]",27,15.111111,-0.083758,-0.457947,0.444444
REGIME:VOLATILE,structure_score,Structure,0,"(-0.001, 2.0]",3,0.0,3.231931,-0.273892,0.333333
REGIME:VOLATILE,structure_score,Structure,1,"(2.0, 4.0]",37,3.243243,-1.263978,-1.152521,0.324324
REGIME:VOLATILE,structure_score,Structure,2,"(4.0, 6.0]",1,6.0,-6.863788,-6.863788,0.0
REGIME:VOLATILE,structure_score,Structure,3,"(6.0, 8.0]",68,7.0,-0.457622,-0.701974,0.411765
REGIME:VOLATILE,structure_score,Structure,4,"(8.0, 10.0]",5,10.0,1.88032,-2.460631,0.4
REGIME:VOLATILE,regime_score,Regime,0,CONSTANT,114,-4.0,-0.575894,-0.831452,0.377193
REGIME:VOLATILE,risk_penalty,Risk Penalty,0,"(-16.001, -12.8]",11,-13.818182,1.813794,3.199972,0.727273
REGIME:VOLATILE,risk_penalty,Risk Penalty,1,"(-12.8, -9.6]",12,-11.833333,-0.651084,-0.403795,0.416667
REGIME:VOLATILE,risk_penalty,Risk Penalty,2,"(-9.6, -6.4]",49,-8.816327,-0.642343,-0.735894,0.367347
REGIME:VOLATILE,risk_penalty,Risk Penalty,3,"(-6.4, -3.2]",32,-4.96875,-0.935321,-1.383246,0.3125
REGIME:VOLATILE,risk_penalty,Risk Penalty,4,"(-3.2, 0.0]",10,-1.4,-1.638554,-2.069706,0.2
REGIME:VOLATILE,external_context_score,External Context,0,CONSTANT,114,0.0,-0.575894,-0.831452,0.377193
REGIME:VOLATILE,adaptive_adjustment,Adaptive Adjustment,0,"(-7.001, -5.5]",68,-7.0,-0.250624,-0.549546,0.426471
REGIME:VOLATILE,adaptive_adjustment,Adaptive Adjustment,1,"(-5.5, -4.0]",46,-4.0,-1.056728,-1.499826,0.304348
REGIME:VOLATILE,historical_edge_score,Historical Edge,0,CONSTANT,114,0.0,-0.575894,-0.831452,0.377193
REGIME:QUIET,trend_score,Trend,0,"(16.999, 22.5]",60,17.0,-1.256665,-1.332601,0.25
REGIME:QUIET,trend_score,Trend,1,"(22.5, 28.0]",121,28.0,-0.526035,-0.723122,0.31405
